day,daylength,hours,minutes,seconds,time
1-1,21579,5,59,39,5:59:39
1-2,21700,6,1,40,6:01:40
1-3,21831,6,3,51,6:03:51
1-4,21972,6,6,12,6:06:12
1-5,22121,6,8,41,6:08:41
1-6,22280,6,11,20,6:11:20
1-7,22448,6,14,8,6:14:08
1-8,22624,6,17,4,6:17:04
1-9,22808,6,20,8,6:20:08
1-10,23001,6,23,21,6:23:21
1-11,23200,6,26,40,6:26:40
1-12,23407,6,30,7,6:30:07
1-13,23622,6,33,42,6:33:42
1-14,23842,6,37,22,6:37:22
1-15,24070,6,41,10,6:41:10
1-16,24303,6,45,3,6:45:03
1-17,24542,6,49,2,6:49:02
1-18,24787,6,53,7,6:53:07
1-19,25038,6,57,18,6:57:18
1-20,25293,7,1,33,7:01:33
1-21,25554,7,5,54,7:05:54
1-22,25819,7,10,19,7:10:19
1-23,26088,7,14,48,7:14:48
1-24,26362,7,19,22,7:19:22
1-25,26639,7,23,59,7:23:59
1-26,26921,7,28,41,7:28:41
1-27,27205,7,33,25,7:33:25
1-28,27494,7,38,14,7:38:14
1-29,27785,7,43,5,7:43:05
1-30,28079,7,47,59,7:47:59
1-31,28377,7,52,57,7:52:57
2-1,28676,7,57,56,7:57:56
2-2,28979,8,2,59,8:02:59
2-3,29283,8,8,3,8:08:03
2-4,29590,8,13,10,8:13:10
2-5,29898,8,18,18,8:18:18
2-6,30209,8,23,29,8:23:29
2-7,30521,8,28,41,8:28:41
2-8,30835,8,33,55,8:33:55
2-9,31150,8,39,10,8:39:10
2-10,31467,8,44,27,8:44:27
2-11,31785,8,49,45,8:49:45
2-12,32104,8,55,4,8:55:04
2-13,32424,9,0,24,9:00:24
2-14,32745,9,5,45,9:05:45
2-15,33068,9,11,8,9:11:08
2-16,33391,9,16,31,9:16:31
2-17,33714,9,21,54,9:21:54
2-18,34039,9,27,19,9:27:19
2-19,34364,9,32,44,9:32:44
2-20,34690,9,38,10,9:38:10
2-21,35016,9,43,36,9:43:36
2-22,35343,9,49,3,9:49:03
2-23,35671,9,54,31,9:54:31
2-24,35999,9,59,59,9:59:59
2-25,36327,10,5,27,10:05:27
2-26,36656,10,10,56,10:10:56
2-27,36985,10,16,25,10:16:25
2-28,37314,10,21,54,10:21:54
3-1,37644,10,27,24,10:27:24
3-2,37973,10,32,53,10:32:53
3-3,38303,10,38,23,10:38:23
3-4,38633,10,43,53,10:43:53
3-5,38964,10,49,24,10:49:24
3-6,39294,10,54,54,10:54:54
3-7,39625,11,0,25,11:00:25
3-8,39955,11,5,55,11:05:55
3-9,40286,11,11,26,11:11:26
3-10,40616,11,16,56,11:16:56
